EWRB_ID,City,Postal_Code,PrimPropTypCalc,PrimPropTypSelf,Largest_PropTyp,All_Prop_Types,Thrd_Party_Cert,WN_Sit_Elc_Int1,WN_Sit_Elc_Int2,WN_Sit_Gas_Int1,WN_Sit_Gas_Int2,WN_Sit_Gas_Int3,All_Water_Int1,All_Water_Int2,Ind_Water_Int1,Ind_Water_Int2,Site_EUI1,Site_EUI2,Source_EUI1,Source_EUI2,WN_Site_EUI1,WN_Site_EUI2,WN_Source_EUI1,WN_Source_EUI2,GHG_Emiss_Int1,GHG_Emiss_Int2,Ener_Star_Score,Ener_Star_Certs,Data_Qual_Check,Data_Qual_Date
107847,Toronto,M5P,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Heated Swimming Pool, Multifamily Housing, Parking",Not Available,0.356500736,9.2,0.454150937,12.17562835,1.131152815,0.548443213,0.050952038,Not Available,Not Available,0.773451596,19.96,1.121039814,28.93,0.797089145,20.57,1.14351486,29.51,22.60421332,2.1,Not Available,Not Available,Yes,2021-07-13
107848,Toronto,M5P,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.32937568,8.5,0.567688672,15.21953543,1.413941019,1.608658101,0.149449218,Not Available,Not Available,0.882339321,22.77,1.203964985,31.07,0.923414406,23.83,1.246977574,32.18,29.06255999,2.7,Not Available,Not Available,Yes,2021-07-13
107849,York,M5P,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Not Available,0.0968752,2.5,0.227075469,6.087814174,0.565576408,0.4596166,0.042699777,Not Available,Not Available,0.338288198,8.73,0.432838393,11.17,0.349913222,9.03,0.444075917,11.46,12.91669333,1.2,Not Available,Not Available,No,Not Available
107857,Toronto,M6C,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.143375296,3.7,0.681226406,18.26344252,1.696729223,2.232889157,0.207442177,Not Available,Not Available,0.745164038,19.23,0.890476838,22.98,0.775776601,20.02,0.921089401,23.77,30.1389511,2.8,Not Available,Not Available,Yes,2021-07-06
107860,Toronto,M6C,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.065875136,1.7,Not Available,Not Available,Not Available,2.831857599,0.263088163,Not Available,Not Available,0.447563424,11.55,0.514601062,13.28,Not Available,Not Available,Not Available,Not Available,19.37503999,1.8,Not Available,Not Available,No,Not Available
107891,North York,M6B,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Not Available,0.259625536,6.7,0.454150937,12.17562835,1.131152815,0.522365675,0.048529356,Not Available,Not Available,0.691688928,17.85,0.945889452,24.41,0.714163974,18.43,0.966426995,24.94,22.60421332,2.1,Not Available,Not Available,No,Not Available
107898,Toronto,M6B,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.267375552,6.9,0.681226406,18.26344252,1.696729223,1.991264473,0.184994511,Not Available,Not Available,0.867614291,22.39,1.133439839,29.25,0.905201868,23.36,1.16753991,30.13,31.21534221,2.9,Not Available,Not Available,Yes,2021-06-21
107900,Toronto,M6B,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.143375296,3.7,0.340613203,9.131721261,0.848364611,1.257426266,0.116818715,0.116818715,0.116818715,0.496388525,12.81,0.63937632,16.5,0.51343856,13.25,0.655263852,16.91,18.29864888,1.7,Not Available,Not Available,Yes,2021-05-21
107907,Toronto,M6E,Office,Mixed Use Property,Office,Office,Not Available,0.015500032,0.4,Not Available,Not Available,Not Available,0.244069453,0.022674793,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,No,Not Available
107910,Toronto,M6B,Strip Mall,Strip Mall,Strip Mall,Strip Mall,Not Available,0.286750592,7.4,0,0,0,0.290927529,0.02702805,0.02702805,0.02702805,0.328213177,8.47,0.604113747,15.59,0.32937568,8.5,0.604113747,15.59,3.229173332,0.3,Not Available,Not Available,No,Not Available
